zone_id,country,state,district_official,district_clean,developer_or_zone_name,location_text,sector,status,latitude,longitude,crs,geocode_precision,coordinate_source,boundary_available,coordinate_interpretation,source_id,data_scope,notes,geocode_reliability,sector_broad,include_in_spatial_analysis,notification_date_raw,notification_date,notification_year,notification_date_source,notification_date_note
TN_SEZ_011,India,Tamil Nadu,Kancheepuram,Chennai,DLF Info City Chennai Limited,"Mugalivakkam Village, Sriperumbudur Taluk, District Kancheepuram, Tamil Nadu",IT/ITES,Operational,13.0225,80.1686,WGS84 / EPSG:4326,village_or_area_approx,Manual public map search / approximate location assignment,No,"Approximate point location, not official SEZ polygon",SRC_001,Operational SEZs in Tamil Nadu from official SEZ India list,Formerly DLF Home Developers Limited and DLF Info City Chennai Limited,unknown,IT/ITES,1,16th November 2006 / 19th March 2007 / 2nd December 2008 / 20th February 2009 / 6th December 2023,2006-11-16,2006,SEZ India notified SEZ list,Multiple dates listed; earliest notification date used
TN_SEZ_012,India,Tamil Nadu,Kancheepuram,Kancheepuram,State Industries Promotion Corporation of Tamil Nadu,"SIPCOT Industrial area, Sriperumbudur Taluk, Kancheepuram District, Tamil Nadu","Electronics / telecom hardware and support services, including trading and logistics activities",Operational,12.9675,79.9419,WGS84 / EPSG:4326,town_or_cluster_approx,Manual public map search / approximate location assignment,No,"Approximate point location, not official SEZ polygon",SRC_001,Operational SEZs in Tamil Nadu from official SEZ India list,NA,unknown,IT/ITES,1,22nd December 2006 / 31st July 2007 / 2nd March 2015 / 17th March 2016 / 1st June 2018 / 5th September 2018 / 3rd December 2018 / 9th April 2019 / 22nd January 2021 / 8th April 2022 / 8th May 2023,2006-12-22,2006,SEZ India notified SEZ list,Multiple dates listed; earliest notification date used
TN_SEZ_013,India,Tamil Nadu,Coimbatore,Coimbatore,Electronics Corporation of Tamil Nadu (ELCOT),"Village Vilankurichi, Coimbatore North Taluk, Coimbatore District, Tamil Nadu",IT/ITES,Operational,11.0706,77.0004,WGS84 / EPSG:4326,industrial_area_or_zone_approx,Manual public map search / approximate location assignment,No,"Approximate point location, not official SEZ polygon",SRC_001,Operational SEZs in Tamil Nadu from official SEZ India list,NA,unknown,IT/ITES,1,11th April 2007 / 16th April 2008,2007-04-11,2007,SEZ India notified SEZ list,Multiple dates listed; earliest notification date used
TN_SEZ_014,India,Tamil Nadu,Kancheepuram,Chengalpattu,Electronics Corporation of Tamil Nadu Limited (ELCOT),"Sholinganallur, Tambaram Taluka, Kancheepuram District, Tamil Nadu",IT/ITES,Operational,12.901,80.2279,WGS84 / EPSG:4326,industrial_area_or_zone_approx,Manual public map search / approximate location assignment,No,"Approximate point location, not official SEZ polygon",SRC_001,Operational SEZs in Tamil Nadu from official SEZ India list,Current district may be Chennai/Chengalpattu depending on boundary treatment,unknown,IT/ITES,1,11th April 2007 / 1st May 2025,2007-04-11,2007,SEZ India notified SEZ list,Multiple dates listed; earliest notification date used
TN_SEZ_015,India,Tamil Nadu,Thiruvannamalai,Tiruvannamalai,Cheyyar SEZ Developers Pvt. Ltd.,"SIPCOT Cheyyar Industrial Park in Mathur, Mangal Villages, Thiruvannamalai District, Tamil Nadu",Footwear,Operational,12.65,79.55,WGS84 / EPSG:4326,village_or_area_approx,Manual public map search / approximate location assignment,No,"Approximate point location, not official SEZ polygon",SRC_001,Operational SEZs in Tamil Nadu from official SEZ India list,NA,unknown,Footwear,1,13th April 2007,2007-04-13,2007,SEZ India notified SEZ list,Single notification date listed
TN_SEZ_016,India,Tamil Nadu,Kancheepuram,Chengalpattu,Estancia IT Park Pvt. Ltd.,"Vallancheri and Potheri Villages, Chengalpet Taluk, Kancheepuram District, Tamil Nadu",Electronic hardware and software including ITES,Operational,12.823,80.045,WGS84 / EPSG:4326,industrial_area_or_zone_approx,Manual public map search / approximate location assignment,No,"Approximate point location, not official SEZ polygon",SRC_001,Operational SEZs in Tamil Nadu from official SEZ India list,"Formerly Arun Excello Infrastructure Pvt. Ltd., L&T Arun Excello IT SEZ Pvt. Ltd., L&T Chennai Project Pvt. Ltd. and Zoho Corporation Pvt. Ltd.",unknown,IT/ITES,1,1st May 2007 / 26th December 2017 / 12th October 2018,2007-05-01,2007,SEZ India notified SEZ list,Multiple dates listed; earliest notification date used
TN_SEZ_017,India,Tamil Nadu,Coimbatore,Coimbatore,Span Ventures Pvt. Ltd.,"KPM Nagar, Rathinam Software Park, Kurichi Village, Eachanari, District Coimbatore, Tamil Nadu",IT/ITES,Operational,10.9629,76.9798,WGS84 / EPSG:4326,industrial_area_or_zone_approx,Manual public map search / approximate location assignment,No,"Approximate point location, not official SEZ polygon",SRC_001,Operational SEZs in Tamil Nadu from official SEZ India list,NA,unknown,IT/ITES,1,10th July 2007 / 28th August 2012 / 4th May 2018 / 18th September 2024,2007-07-10,2007,SEZ India notified SEZ list,Multiple dates listed; earliest notification date used
TN_SEZ_018,India,Tamil Nadu,Coimbatore,Coimbatore,AspenPark Infra Coimbatore Private Limited (AICPL),"Karumatampatti and Kittampalayam villages, Palladam Taluk, Coimbatore District, Tamil Nadu",Hi-tech engineering products and related services,Operational,11.108,77.185,WGS84 / EPSG:4326,village_or_area_approx,Manual public map search / approximate location assignment,No,"Approximate point location, not official SEZ polygon",SRC_001,Operational SEZs in Tamil Nadu from official SEZ India list,Formerly Aspen Infrastructures Limited / Synefra Engineering construction Ltd. / Suzlon Infrastructure Ltd.,unknown,Engineering,1,10th August 2007 / 28th November 2007 / 7th August 2008 / 20th December 2016 / 7th July 2017,2007-08-10,2007,SEZ India notified SEZ list,Multiple dates listed; earliest notification date used
TN_SEZ_019,India,Tamil Nadu,Kancheepuram,Chengalpattu,ETA Technopark Private Limited,"Old Mahabalipuram Road, Navallur Village, Chengalpet Taluk, Kancheepuram District, Tamil Nadu",IT/ITES,Operational,12.845,80.226,WGS84 / EPSG:4326,village_or_area_approx,Manual public map search / approximate location assignment,No,"Approximate point location, not official SEZ polygon",SRC_001,Operational SEZs in Tamil Nadu from official SEZ India list,NA,unknown,IT/ITES,1,7th September 2007,2007-09-07,2007,SEZ India notified SEZ list,Single notification date listed
TN_SEZ_020,India,Tamil Nadu,Kancheepuram,Kancheepuram,New Chennai Township Private Limited,"Seekinakuppam Village, Cheyyar Taluk, Kancheepuram District, Tamil Nadu",Engineering sector including auto ancillaries,Operational,12.69,79.62,WGS84 / EPSG:4326,village_or_area_approx,Manual public map search / approximate location assignment,No,"Approximate point location, not official SEZ polygon",SRC_001,Operational SEZs in Tamil Nadu from official SEZ India list,NA,unknown,Engineering,1,28th September 2007,2007-09-28,2007,SEZ India notified SEZ list,Single notification date listed
TN_SEZ_021,India,Tamil Nadu,Kancheepuram,Kancheepuram,State Industries Promotion Corporation of Tamil Nadu,"SIPCOT of Tamil Nadu Industrial Growth Centres, Sriperumbudur Taluka, Kancheepuram District, Tamil Nadu",Electronics hardware and related support services including trading and logistics operations,Operational,12.9675,79.9419,WGS84 / EPSG:4326,town_or_cluster_approx,Manual public map search / approximate location assignment,No,"Approximate point location, not official SEZ polygon",SRC_001,Operational SEZs in Tamil Nadu from official SEZ India list,NA,unknown,Electronics,1,18th October 2007 / 3rd December 2018 / 10th September 2020 / 21st April 2022 / 20th March 2024,2007-10-18,2007,SEZ India notified SEZ list,Multiple dates listed; earliest notification date used
TN_SEZ_022,India,Tamil Nadu,Kancheepuram,Kancheepuram,New Chennai Township Private Limited,"Seekinakuppam, Paramankeni and Vellur Villages, Cheyyur Taluk, Kancheepuram District, Tamil Nadu",Multi services,Operational,12.35,80.05,WGS84 / EPSG:4326,village_or_area_approx,Manual public map search / approximate location assignment,No,"Approximate point location, not official SEZ polygon",SRC_001,Operational SEZs in Tamil Nadu from official SEZ India list,NA,unknown,Multi-sector/product,1,23rd November 2007 / 12th September 2024,2007-11-23,2007,SEZ India notified SEZ list,Multiple dates listed; earliest notification date used
TN_SEZ_023,India,Tamil Nadu,Vellore,Ranipet,State Industries Promotion Corporation of Tamil Nadu,"SIPCOT of Tamil Nadu Complex, Ranipet Phase-III, Mukuntharayapuram Village, Walajah Taluk, Vellore District, Tamil Nadu",Engineering,Operational,12.93,79.333,WGS84 / EPSG:4326,industrial_area_or_zone_approx,Manual public map search / approximate location assignment,No,"Approximate point location, not official SEZ polygon",SRC_001,Operational SEZs in Tamil Nadu from official SEZ India list,Official list uses Vellore; current district is likely Ranipet,unknown,Engineering,1,27th November 2007 / 5th January 2016,2007-11-27,2007,SEZ India notified SEZ list,Multiple dates listed; earliest notification date used
TN_SEZ_024,India,Tamil Nadu,Chennai,Chengalpattu,Cognizant Technology Solutions India Pvt. Ltd.,"SIPCOT IT Park, Siruseri and Kazhipattur villages, Chennai, Tamil Nadu",IT/ITES,Operational,12.833,80.218,WGS84 / EPSG:4326,industrial_area_or_zone_approx,Manual public map search / approximate location assignment,No,"Approximate point location, not official SEZ polygon",SRC_001,Operational SEZs in Tamil Nadu from official SEZ India list,NA,unknown,IT/ITES,1,17th December 2007 / 6th April 2016,2007-12-17,2007,SEZ India notified SEZ list,Multiple dates listed; earliest notification date used
TN_SEZ_025,India,Tamil Nadu,Tiruchirapalli,Tiruchirappalli,Electronics Corporation of Tamil Nadu Limited (ELCOT),"Navalpattu Village, Tiruchirapalli Taluk, Tiruchirapalli District, Tamil Nadu",IT/ITES,Operational,10.765,78.815,WGS84 / EPSG:4326,village_or_area_approx,Manual public map search / approximate location assignment,No,"Approximate point location, not official SEZ polygon",SRC_001,Operational SEZs in Tamil Nadu from official SEZ India list,NA,unknown,IT/ITES,1,12th February 2008,2008-02-12,2008,SEZ India notified SEZ list,Single notification date listed
TN_SEZ_026,India,Tamil Nadu,Kancheepuram,Kancheepuram,J. Matadee Free Trade Zone Private Limited,"Mannur and Valarpuram Villages, Sriperumbudur Taluk, Kancheepuram District, Tamil Nadu",Multi Sector SEZ including FTWZ,Operational,12.985,79.93,WGS84 / EPSG:4326,town_or_cluster_approx,Manual public map search / approximate location assignment,No,"Approximate point location, not official SEZ polygon",SRC_001,Operational SEZs in Tamil Nadu from official SEZ India list,NA,unknown,FTWZ,1,10th March 2008 / 21st May 2009 / 2nd November 2023,2008-03-10,2008,SEZ India notified SEZ list,Multiple dates listed; earliest notification date used
TN_SEZ_027,India,Tamil Nadu,Erode,Erode,State Industries Promotion Corporation of Tamil Nadu Limited,"SIPCOT, Industrial Growth Centre, Perundurai Village, Erode District, Tamil Nadu",Engineering,Operational,11.2756,77.587,WGS84 / EPSG:4326,industrial_area_or_zone_approx,Manual public map search / approximate location assignment,No,"Approximate point location, not official SEZ polygon",SRC_001,Operational SEZs in Tamil Nadu from official SEZ India list,NA,unknown,Engineering,1,23rd April 2008 / 26th December 2018 / 17th January 2022 / 5th April 2023,2008-04-23,2008,SEZ India notified SEZ list,Multiple dates listed; earliest notification date used
TN_SEZ_028,India,Tamil Nadu,Madurai,Madurai,Electronics Corporation of Tamil Nadu Limited (ELCOT),"Ilandhikulam Village, Madurai I, Madurai North Taluk, Madurai District, Tamil Nadu",IT/ITES,Operational,9.9975,78.1515,WGS84 / EPSG:4326,village_or_area_approx,Manual public map search / approximate location assignment,No,"Approximate point location, not official SEZ polygon",SRC_001,Operational SEZs in Tamil Nadu from official SEZ India list,NA,unknown,IT/ITES,1,30th April 2008,2008-04-30,2008,SEZ India notified SEZ list,Single notification date listed
TN_SEZ_029,India,Tamil Nadu,Salem,Salem,Electronics Corporation of Tamil Nadu Limited (ELCOT),"Jagir Ammapalayam Village, Salem Taluk, Salem District, Tamil Nadu",IT/ITES,Operational,11.681,78.132,WGS84 / EPSG:4326,village_or_area_approx,Manual public map search / approximate location assignment,No,"Approximate point location, not official SEZ polygon",SRC_001,Operational SEZs in Tamil Nadu from official SEZ India list,NA,unknown,IT/ITES,1,30th April 2008 / 4th December 2023,2008-04-30,2008,SEZ India notified SEZ list,Multiple dates listed; earliest notification date used
TN_SEZ_030,India,Tamil Nadu,Tirunelveli,Tirunelveli,State Industries Promotion Corporation of Tamil Nadu,"SIPCOT Industrial Growth Centre, Gangaikondan Village, Tirunelveli District, Tamil Nadu",Transport engineering goods including manufacture of tyres and tubes,Operational,8.86,77.78,WGS84 / EPSG:4326,industrial_area_or_zone_approx,Manual public map search / approximate location assignment,No,"Approximate point location, not official SEZ polygon",SRC_001,Operational SEZs in Tamil Nadu from official SEZ India list,NA,unknown,Engineering,1,15th May 2008 / 16th August 2022,2008-05-15,2008,SEZ India notified SEZ list,Multiple dates listed; earliest notification date used
TN_SEZ_031,India,Tamil Nadu,Erode,Erode,IG3 Infra Limited,"Vadamugam Kangeyampalayam Village, Perundurai Taluka, Erode District, Tamil Nadu",Textile,Operational,11.29,77.6,WGS84 / EPSG:4326,village_or_area_approx,Manual public map search / approximate location assignment,No,"Approximate point location, not official SEZ polygon",SRC_001,Operational SEZs in Tamil Nadu from official SEZ India list,Formerly ETL Infrastructure Services Limited and Indian Green Grid Group Ltd.,unknown,Textile,1,9th June 2008 / 30th August 2019,2008-06-09,2008,SEZ India notified SEZ list,Multiple dates listed; earliest notification date used
TN_SEZ_032,India,Tamil Nadu,Tirunelveli,Tirunelveli,AMRL Hitech City Ltd.,"Nanguneri Taluk, Tirunelveli District, Tamil Nadu",Multi-product,Operational,8.493,77.658,WGS84 / EPSG:4326,village_or_area_approx,Manual public map search / approximate location assignment,No,"Approximate point location, not official SEZ polygon",SRC_001,Operational SEZs in Tamil Nadu from official SEZ India list,Formerly AMRL International Tech City Ltd.,unknown,Multi-sector/product,1,16th October 2008,2008-10-16,2008,SEZ India notified SEZ list,Single notification date listed
TN_SEZ_033,India,Tamil Nadu,Chennai,Chennai,Tril Infopark Ltd.,"Kanagam village of Mambalam-Guindy Taluk and Thiruvanmiyur village of Mylapore-Triplicane Taluk, Chennai District, Tamil Nadu",IT/ITES,Operational,13.011,80.24,WGS84 / EPSG:4326,industrial_area_or_zone_approx,Manual public map search / approximate location assignment,No,"Approximate point location, not official SEZ polygon",SRC_001,Operational SEZs in Tamil Nadu from official SEZ India list,NA,unknown,IT/ITES,1,18th November 2008 / 27th September 2022,2008-11-18,2008,SEZ India notified SEZ list,Multiple dates listed; earliest notification date used
TN_SEZ_034,India,Tamil Nadu,Tuticorin,Thoothukudi,CCCL Pearl City Food Port SEZ Ltd.,"Vadakkukaracheri and Thimmarajapura Villages, Tuticorin District, Tamil Nadu",Food Processing,Operational,8.75,78.12,WGS84 / EPSG:4326,village_or_area_approx,Manual public map search / approximate location assignment,No,"Approximate point location, not official SEZ polygon",SRC_001,Operational SEZs in Tamil Nadu from official SEZ India list,Formerly CCCL Infrastructure Limited,unknown,Food processing,1,23rd January 2009,2009-01-23,2009,SEZ India notified SEZ list,Single notification date listed
TN_SEZ_035,India,Tamil Nadu,Tiruvallur,Tiruvallur,L&T Shipbuilding Limited,"Village Kattupalli, Ponneri Taluk, District Tiruvallur, Tamil Nadu",Heavy Engineering Sector,Operational,13.302,80.341,WGS84 / EPSG:4326,industrial_area_or_zone_approx,Manual public map search / approximate location assignment,No,"Approximate point location, not official SEZ polygon",SRC_001,Operational SEZs in Tamil Nadu from official SEZ India list,NA,unknown,Engineering,1,4th December 2009 / 25th August 2010 / 20th October 2010 / 3rd November 2010,2009-12-04,2009,SEZ India notified SEZ list,Multiple dates listed; earliest notification date used
TN_SEZ_036,India,Tamil Nadu,Krishnagiri,Krishnagiri,Cheyyar SEZ Developers Pvt. Ltd.,"SIPCOT Industrial Growth Centre, Bargur, Uthangarai and Pochampalli Taluk, Krishnagiri District, Tamil Nadu",Footwear,Operational,12.545,78.38,WGS84 / EPSG:4326,village_or_area_approx,Manual public map search / approximate location assignment,No,"Approximate point location, not official SEZ polygon",SRC_001,Operational SEZs in Tamil Nadu from official SEZ India list,NA,unknown,Footwear,1,30th March 2016 / 28th February 2023,2016-03-30,2016,SEZ India notified SEZ list,Multiple dates listed; earliest notification date used
TN_SEZ_037,India,Tamil Nadu,Thiruvallur,Tiruvallur,Frontier Lifeline Pvt. Ltd.,"Edur Village, Gummudipundi Taluk, Thiruvallur District, Tamil Nadu",Biotechnology,Operational,13.405,80.13,WGS84 / EPSG:4326,village_or_area_approx,Manual public map search / approximate location assignment,No,"Approximate point location, not official SEZ polygon",SRC_001,Operational SEZs in Tamil Nadu from official SEZ India list,NA,unknown,Biotechnology,1,2nd February 2009,2009-02-02,2009,SEZ India notified SEZ list,Single notification date listed
TN_SEZ_038,India,Tamil Nadu,Chennai,Chengalpattu,Platinum Holdings Pvt. Ltd.,"2/1, Abu Gardens, OMR Road, Navalur, Chennai-600130",IT/ITES,Operational,12.845,80.226,WGS84 / EPSG:4326,town_or_cluster_approx,Manual public map search / approximate location assignment,No,"Approximate point location, not official SEZ polygon",SRC_001,Operational SEZs in Tamil Nadu from official SEZ India list,NA,unknown,IT/ITES,1,16th October 2008,2008-10-16,2008,SEZ India notified SEZ list,Matched to Platinum Holdings Pvt. Ltd.; single notification date listed
TN_SEZ_039,India,Tamil Nadu,Tirunelveli,Tirunelveli,Electronics Corporation of Tamil Nadu Limited (ELCOT),"Gangaikondan Village, Thrunelveli Taluk, Tirunelveli District, Tamil Nadu",IT/ITES,Operational,8.86,77.78,WGS84 / EPSG:4326,village_or_area_approx,Manual public map search / approximate location assignment,No,"Approximate point location, not official SEZ polygon",SRC_001,Operational SEZs in Tamil Nadu from official SEZ India list,Typo in official list: Thrunelveli,unknown,IT/ITES,1,8th June 2009 / 20th December 2011 / 8th September 2022 / 9th June 2025,2009-06-08,2009,SEZ India notified SEZ list,Multiple dates listed; earliest notification date used
TN_SEZ_040,India,Tamil Nadu,Kancheepuram,Chengalpattu,SNP Infrastructure LLP,"Zamin Pallavaram Village, Tambaram Taluk, Kancheepuram District, Tamil Nadu",IT/ITES,Operational,12.967,80.15,WGS84 / EPSG:4326,village_or_area_approx,Manual public map search / approximate location assignment,No,"Approximate point location, not official SEZ polygon",SRC_001,Operational SEZs in Tamil Nadu from official SEZ India list,Formerly SNP Infrastructure Pvt. Ltd.,unknown,IT/ITES,1,12th February 2008 / 1st April 2019,2008-02-12,2008,SEZ India notified SEZ list,Multiple dates listed; earliest notification date used
TN_SEZ_041,India,Tamil Nadu,Kancheepuram,Chengalpattu,Infosys Limited,"No. 138, Old Mahabalipuram Road, Sholinganallur, Kancheepuram District, Tamil Nadu",IT/ITES,Operational,12.901,80.2279,WGS84 / EPSG:4326,industrial_area_or_zone_approx,Manual public map search / approximate location assignment,No,"Approximate point location, not official SEZ polygon",SRC_001,Operational SEZs in Tamil Nadu from official SEZ India list,NA,unknown,IT/ITES,1,16th January 2020,2020-01-16,2020,SEZ India notified SEZ list,Single notification date listed
TN_SEZ_042,India,Tamil Nadu,Chengalpattu,Chengalpattu,TATA Consultancy Services Limited,"Plot Nos. H-11/1B, H-11/1C and H-11/2 in SIPCOT IT Park, Siruseri, Egattur Village, Thiruporur Taluk, Chengalpattu District, Tamil Nadu",IT/ITES,Operational,12.833,80.218,WGS84 / EPSG:4326,industrial_area_or_zone_approx,Manual public map search / approximate location assignment,No,"Approximate point location, not official SEZ polygon",SRC_001,Operational SEZs in Tamil Nadu from official SEZ India list,NA,unknown,IT/ITES,1,26th March 2020,2020-03-26,2020,SEZ India notified SEZ list,Single notification date listed
TN_SEZ_043,India,Tamil Nadu,Chennai,Chennai,Perungudi Real Estates Private Limited,"OMR Road, Perungudi, Chennai, Tamil Nadu",IT/ITES,Operational,12.9654,80.2461,WGS84 / EPSG:4326,industrial_area_or_zone_approx,Manual public map search / approximate location assignment,No,"Approximate point location, not official SEZ polygon",SRC_001,Operational SEZs in Tamil Nadu from official SEZ India list,NA,unknown,IT/ITES,1,31st March 2017,2017-03-31,2017,SEZ India notified SEZ list,Single notification date listed
TN_SEZ_044,India,Tamil Nadu,Krishnagiri,Krishnagiri,Electronics Corporation of Tamil Nadu Limited (ELCOT),"Viswanathapuram Village, Hosur Taluk, Krishnagiri District, Tamil Nadu",IT/ITES,Operational,12.735,77.83,WGS84 / EPSG:4326,village_or_area_approx,Manual public map search / approximate location assignment,No,"Approximate point location, not official SEZ polygon",SRC_001,Operational SEZs in Tamil Nadu from official SEZ India list,NA,unknown,IT/ITES,1,4th May 2009 / 19th July 2024,2009-05-04,2009,SEZ India notified SEZ list,Multiple dates listed; earliest notification date used
TN_SEZ_045,India,Tamil Nadu,Madurai,Madurai,Electronics Corporation of Tamil Nadu Limited (ELCOT),"Vadapalanji Village, Madurai South Taluk and Kinnimangalam Village, Tirumangalam Taluk, Madurai II, Madurai District, Tamil Nadu",IT/ITES,Operational,9.9,78,WGS84 / EPSG:4326,village_or_area_approx,Manual public map search / approximate location assignment,No,"Approximate point location, not official SEZ polygon",SRC_001,Operational SEZs in Tamil Nadu from official SEZ India list,NA,unknown,IT/ITES,1,30th April 2008,2008-04-30,2008,SEZ India notified SEZ list,Single notification date listed
TN_SEZ_046,India,Tamil Nadu,Tiruvallur,Tiruvallur,NDR Infrastructure Pvt. Ltd.,"Nandiyambakkam Village, Minjur Panchayat Union, Ponneri Taluk, Tiruvallur District, Tamil Nadu",FTWZ,Operational,13.27,80.275,WGS84 / EPSG:4326,town_or_cluster_approx,Manual public map search / approximate location assignment,No,"Approximate point location, not official SEZ polygon",SRC_001,Operational SEZs in Tamil Nadu from official SEZ India list,Official text appears to say Panchayat Onion; cleaned as Panchayat Union,unknown,FTWZ,1,12th May 2020,2020-05-12,2020,SEZ India notified SEZ list,Single notification date listed
TN_SEZ_047,India,Tamil Nadu,Krishnagiri,Krishnagiri,Delta Electronics India Pvt. Ltd.,"Plot No. 1, Industrial Park, Kurubarapalli, Krishnagiri District, Tamil Nadu",Electronic hardware and software including IT/ITES,Operational,12.544,78.19,WGS84 / EPSG:4326,village_or_area_approx,Manual public map search / approximate location assignment,No,"Approximate point location, not official SEZ polygon",SRC_001,Operational SEZs in Tamil Nadu from official SEZ India list,NA,unknown,IT/ITES,1,28th February 2019,2019-02-28,2019,SEZ India notified SEZ list,Single notification date listed
